folder_name,BRM_mm_auc,BRM_mm_avgprecision
abalone-17_vs_7-8-9-10,0.8406231094978827,0.9860365836156952
abalone-19_vs_10-11-12-13,0.6297169811320755,0.9847799196807852
abalone-20_vs_8-9-10,0.8538868538868538,0.9922851682894781
abalone-21_vs_8,0.935374149659864,0.9865773827066217
abalone-3_vs_11,0.7308692676249144,0.5976328950785873
abalone19,0.7333489256397876,0.9950882052986623
abalone9-18,0.8200290275761974,0.9660250167440116
car-good,0.5174935136410096,0.9532953461182543
car-vgood,0.5497664091771127,0.9563694210742519
cleveland-0_vs_4,0.8302884615384616,0.953511443974612
dermatology-6,0.6534023668639053,0.9587276049420705
ecoli-0-1-3-7_vs_2-6,0.7440041710114703,0.9815685189874078
ecoli-0-1-4-6_vs_5,0.8125,0.9559768977107187
ecoli-0-1-4-7_vs_2-3-5-6,0.7667078512860833,0.9453814380551554
ecoli-0-1-4-7_vs_5-6,0.7850162866449512,0.953131050095773
ecoli-0-1_vs_2-3-5,0.8028409090909091,0.9395206178880675
ecoli-0-1_vs_5,0.7777272727272727,0.9468960173195176
ecoli-0-2-3-4_vs_5,0.807967032967033,0.9374415970906299
ecoli-0-2-6-7_vs_3-5,0.8247074707470747,0.9404887847345007
ecoli-0-3-4-6_vs_5,0.8056756756756757,0.9384749327380428
ecoli-0-3-4-7_vs_5-6,0.7839655172413793,0.9381045147126131
ecoli-0-3-4_vs_5,0.8283333333333334,0.9383253125588766
ecoli-0-4-6_vs_5,0.8068306010928962,0.9377890352550676
ecoli-0-6-7_vs_3-5,0.8236363636363637,0.9392969721186489
ecoli-0-6-7_vs_5,0.806,0.9430798982095084
ecoli-0_vs_1,0.7579693034238489,0.8641057524863804
ecoli1,0.6295943438800581,0.8245307571505123
ecoli2,0.5335861321776815,0.8612336636060896
ecoli3,0.5158993830090175,0.9014978458899874
ecoli4,0.7697784810126582,0.961904853725002
flare-F,0.732148946327491,0.9742599543211531
glass-0-1-2-3_vs_4-5-6,0.7973054252375797,0.849113346198549
glass-0-1-4-6_vs_2,0.5844806007509387,0.8948693246360864
glass-0-1-5_vs_2,0.5149905123339658,0.8963694520914874
glass-0-1-6_vs_2,0.5384873949579831,0.8965487573145983
glass-0-1-6_vs_5,0.8082539682539682,0.9679332099133382
glass-0-4_vs_5,0.7965194109772423,0.9344930440195778
glass-0-6_vs_5,0.8484848484848485,0.9466387561004064
glass0,0.7281746031746031,0.5027425479924155
glass1,0.5000953470633104,0.6048192758616083
glass2,0.5903254702896387,0.8985874885944807
glass4,0.9035591274397244,0.9642501314298483
glass5,0.8043360433604336,0.9723323724111299
glass6,0.6945013979496738,0.9044798737486406
habermanImb,0.6700137174211249,0.8007845588097129
iris0,0.7146,0.6342675163838776
kr-vs-k-one_vs_fifteen,0.7583339252314322,0.9785962327708044
kr-vs-k-three_vs_eleven,0.7525240727763503,0.9829885374961356
kr-vs-k-zero-one_vs_draw,0.7494209414810273,0.9775864014870818
kr-vs-k-zero_vs_eight,0.5529709751621825,0.9786523340316969
kr-vs-k-zero_vs_fifteen,0.6853048801340583,0.9913274669714031
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5574490746904539,0.9250931014564426
lymphography-normal-fibrosis,0.994131455399061,0.975960846063328
new-thyroid1,0.8742857142857143,0.9045978656946481
new-thyroid2,0.8601587301587301,0.9034775594483514
page-blocks-1-3_vs_4,0.7413931788931789,0.9545531414947639
page-blocks0,0.6684325146639178,0.8304860192738419
pimaImb,0.6965820895522388,0.7490924555834233
poker-8-9_vs_5,0.7651317073170731,0.9925344976521244
poker-8-9_vs_6,0.7915890410958905,0.9897587656081603
poker-8_vs_6,0.6804995970991137,0.9917782945590609
poker-9_vs_7,0.9576271186440678,0.980973841391225
segment0,0.7292943689898955,0.7404329250180812
shuttle-2_vs_5,0.9845767508105171,0.992329623182015
shuttle-6_vs_2-3,0.9936363636363637,0.9756930411476604
shuttle-c0-vs-c4,0.6271028126459459,0.9506502342133278
shuttle-c2-vs-c4,0.9688346883468835,0.9716809372741575
vehicle0,0.519576242883661,0.7604103909936758
vehicle1,0.5919204647857399,0.7962096487618726
vehicle2,0.656934786419681,0.5218429533975552
vehicle3,0.5702041545146123,0.7945724245728059
vowel0,0.5351893095768374,0.8922170274143072
winequality-red-3_vs_5,0.7958883994126285,0.9906139975747567
winequality-red-4,0.6495276916693109,0.9763479026017813
winequality-red-8_vs_6,0.7035005224660397,0.9801833163371867
winequality-red-8_vs_6-7,0.6396521969998672,0.9744869338262211
winequality-white-3-9_vs_5,0.8731091283459163,0.9905551029521193
winequality-white-3_vs_7,0.9469318181818182,0.9880351673776868
winequality-white-9_vs_4,0.6552147239263804,0.9741994099402972
wisconsinImb,0.9755456293113197,0.7967504715010014
yeast-0-2-5-6_vs_3-7-8-9,0.6386070651264022,0.9254606727657789
yeast-0-2-5-7-9_vs_3-6-8,0.632780847145488,0.927004857176843
yeast-0-3-5-9_vs_7-8,0.6262719298245614,0.9252155881721149
yeast-0-5-6-7-9_vs_4,0.6232170016853702,0.9002414312177118
yeast-1-2-8-9_vs_7,0.5673936750272628,0.9643829039022961
yeast-1-4-5-8_vs_7,0.5377073906485671,0.9431205198709308
yeast-1_vs_7,0.5838383838383838,0.9319804104060867
yeast-2_vs_4,0.7932071316647609,0.9402110900769005
yeast-2_vs_8,0.7547619047619047,0.9721502255235104
yeast1,0.5451673129398248,0.7340765535017058
yeast3,0.5574323226037162,0.9088829567309918
yeast4,0.675492248539332,0.9757868856133105
yeast5,0.6617424242424242,0.9792493293084543
yeast6,0.5587695947944396,0.9774071662609318
zoo-3,0.825,0.965524111115565
