folder_name,MAX_Bagging_mm_auc,MAX_Bagging_mm_avgprecision
abalone-17_vs_7-8-9-10,0.7581253781004235,0.9393261624186179
abalone-19_vs_10-11-12-13,0.6030856918238994,0.9722592609032206
abalone-20_vs_8-9-10,0.8158933658933659,0.9464987128567474
abalone-21_vs_8,0.8599143361048123,0.7957130897721998
abalone-3_vs_11,0.9504449007529089,0.7276946347868973
abalone19,0.6021434391598262,0.9898201570843328
abalone9-18,0.7771096827700601,0.7948874036947622
car-good,0.5949891238829048,0.9431081385960106
car-vgood,0.6327767241778066,0.9711078258517176
cleveland-0_vs_4,0.6283653846153846,0.9008599782875883
dermatology-6,0.8752958579881657,0.8124365717883466
ecoli-0-1-3-7_vs_2-6,0.8383733055265902,0.6822478991596639
ecoli-0-1-4-6_vs_5,0.7309615384615384,0.8781737620128071
ecoli-0-1-4-7_vs_2-3-5-6,0.7072896776367517,0.6487717127180801
ecoli-0-1-4-7_vs_5-6,0.717915309446254,0.6662583296111851
ecoli-0-1_vs_2-3-5,0.7865530303030304,0.7054757054868523
ecoli-0-1_vs_5,0.7881818181818182,0.784261334664061
ecoli-0-2-3-4_vs_5,0.8120879120879121,0.7648522471214456
ecoli-0-2-6-7_vs_3-5,0.6687668766876687,0.8260664393471762
ecoli-0-3-4-6_vs_5,0.7867567567567567,0.8033266684103288
ecoli-0-3-4-7_vs_5-6,0.6970689655172414,0.6652388545285823
ecoli-0-3-4_vs_5,0.8130555555555555,0.7633044128516706
ecoli-0-4-6_vs_5,0.7562841530054645,0.8147259187755418
ecoli-0-6-7_vs_3-5,0.6615909090909091,0.8250129954125349
ecoli-0-6-7_vs_5,0.695375,0.8397678489111919
ecoli-0_vs_1,0.6067568794841522,0.5707514278816173
ecoli1,0.5977535977535978,0.6964428029405669
ecoli2,0.6050243770314192,0.8780023495506344
ecoli3,0.5107736117702895,0.889577457893843
ecoli4,0.7004746835443038,0.8995100290626069
flare-F,0.6147786946736684,0.9470265410764677
glass-0-1-2-3_vs_4-5-6,0.6622158065680259,0.5043675926521769
glass-0-1-4-6_vs_2,0.523153942428035,0.9126932320101268
glass-0-1-5_vs_2,0.5320683111954458,0.9030001079004427
glass-0-1-6_vs_2,0.5579831932773109,0.8966659005417286
glass-0-1-6_vs_5,0.7841269841269841,0.8451540392036225
glass-0-4_vs_5,0.8420348058902276,0.681539112026917
glass-0-6_vs_5,0.8148148148148148,0.7405697179156563
glass0,0.6705357142857142,0.7567606142460408
glass1,0.5310831426392068,0.6375764668741533
glass2,0.5031352642579875,0.9219854098528465
glass4,0.8802143130501339,0.620372852464352
glass5,0.7826558265582656,0.870916590849591
glass6,0.5310344827586206,0.8238665865903976
habermanImb,0.6212620027434843,0.6728189291183984
iris0,0.5572,0.5830549346815692
kr-vs-k-one_vs_fifteen,0.7620332883490778,0.9262515607254532
kr-vs-k-three_vs_eleven,0.6633380051389862,0.9584731443144558
kr-vs-k-zero-one_vs_draw,0.8191617276381226,0.6246468409627062
kr-vs-k-zero_vs_eight,0.629112713550955,0.9702175933690861
kr-vs-k-zero_vs_fifteen,0.8531855955678671,0.7283786945957651
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5819797630142458,0.7434332191750594
lymphography-normal-fibrosis,0.9976525821596244,0.9484126984126984
new-thyroid1,0.8165079365079365,0.6612715014127165
new-thyroid2,0.8163492063492064,0.6615820604189278
page-blocks-1-3_vs_4,0.7686615186615187,0.8797807560167552
page-blocks0,0.7649971762695954,0.5966910481343752
pimaImb,0.5976716417910447,0.5824917641801346
poker-8-9_vs_5,0.7108780487804878,0.9656474829793743
poker-8-9_vs_6,0.8285753424657535,0.8891838889230906
poker-8_vs_6,0.771676067687349,0.9707426092030642
poker-9_vs_7,0.9560381355932204,0.532236050986051
segment0,0.630661458997283,0.8868047650994555
shuttle-2_vs_5,0.6389685350724312,0.9888376121183841
shuttle-6_vs_2-3,0.985,0.5917560217560217
shuttle-c0-vs-c4,0.646341463414634,0.9518548879846608
shuttle-c2-vs-c4,0.9674796747967479,0.5637566137566137
vehicle0,0.5203762242433186,0.7367145802980987
vehicle1,0.5355805792238431,0.7598959915809318
vehicle2,0.5402179629521418,0.7536171121518292
vehicle3,0.5575784179513124,0.7221084210235117
vowel0,0.7512373174956695,0.695563045805078
winequality-red-3_vs_5,0.8133627019089574,0.804982271336901
winequality-red-4,0.6183699870633894,0.9499694455634601
winequality-red-8_vs_6-7,0.5385636532589937,0.9721878350268042
winequality-red-8_vs_6,0.5879484500174155,0.9558957589763311
winequality-white-3-9_vs_5,0.8222649279341112,0.7838052443127544
winequality-white-3_vs_7,0.8957386363636364,0.5437775096796977
winequality-white-9_vs_4,0.7386503067484662,0.9368170728288074
wisconsinImb,0.6671943910437634,0.7359612888332591
yeast-0-2-5-6_vs_3-7-8-9,0.5999497739829232,0.7804151639942593
yeast-0-2-5-7-9_vs_3-6-8,0.5698532284167643,0.8438546612548143
yeast-0-3-5-9_vs_7-8,0.6333114035087719,0.796375454493637
yeast-0-5-6-7-9_vs_4,0.6038969046738193,0.8637582363997454
yeast-1-2-8-9_vs_7,0.6268993093420576,0.9346077972834053
yeast-1-4-5-8_vs_7,0.5108848667672197,0.9567995734605842
yeast-1_vs_7,0.6178710178710178,0.8840705704039
yeast-2_vs_4,0.725998390716978,0.8067028128415374
yeast-2_vs_8,0.8058441558441558,0.632476982165765
yeast1,0.521012163192258,0.708510113171748
yeast3,0.5010542301565555,0.8937793023190854
yeast4,0.6138568476937181,0.9462307334220694
yeast5,0.555050505050505,0.9646966806429937
yeast6,0.51406881593217,0.9773382184927463
zoo-3,0.8854166666666666,0.7150793650793651
