folder_name,Avg_KNN_auc,Avg_KNN_avgprecision
abalone-17_vs_7-8-9-10,0.8696612220205686,0.831139001201503
abalone-19_vs_10-11-12-13,0.6764347484276729,0.9650795841389959
abalone-20_vs_8-9-10,0.8849409849409849,0.8737064834158307
abalone-21_vs_8,0.9506172839506173,0.5115626370334696
abalone-3_vs_11,0.7794661190965093,0.9717510438045269
abalone19,0.751086431675519,0.9833808968097727
abalone9-18,0.8675098486419242,0.6604577494915453
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.7153846153846154,0.8531914167371621
dermatology-6,0.5696005917159763,0.9511775732944361
ecoli-0-1-3-7_vs_2-6,0.7851929092805003,0.920727512102892
ecoli-0-1-4-6_vs_5,0.7926923076923076,0.8050471730353059
ecoli-0-1-4-7_vs_2-3-5-6,0.7888352240817702,0.7387737819229334
ecoli-0-1-4-7_vs_5-6,0.7990879478827362,0.8000473680635891
ecoli-0-1_vs_2-3-5,0.7890151515151516,0.7150344904975768
ecoli-0-1_vs_5,0.7859090909090909,0.790263715227554
ecoli-0-2-3-4_vs_5,0.8233516483516483,0.7487402956231635
ecoli-0-2-6-7_vs_3-5,0.8224572457245725,0.645758239770138
ecoli-0-3-4-6_vs_5,0.8105405405405405,0.7531836925921057
ecoli-0-3-4-7_vs_5-6,0.8163793103448276,0.7501008357391648
ecoli-0-3-4_vs_5,0.8244444444444444,0.7459085964622388
ecoli-0-4-6_vs_5,0.8188524590163935,0.7360749424450066
ecoli-0-6-7_vs_3-5,0.8268181818181819,0.6361693444243532
ecoli-0-6-7_vs_5,0.80925,0.734138368272923
ecoli-0_vs_1,0.7743165924984107,0.5002726703989355
ecoli1,0.6327032041317756,0.6714881132594224
ecoli2,0.5621614301191766,0.8327264150167252
ecoli3,0.5070716658756527,0.8924691246280199
ecoli4,0.7748417721518988,0.8609624335001896
flare-F,0.740321443997363,0.9029225805256916
glass-0-1-2-3_vs_4-5-6,0.8357993504150126,0.5948490169829426
glass-0-1-4-6_vs_2,0.5678973717146434,0.9282037632972117
glass-0-1-5_vs_2,0.5149905123339659,0.9052133364966943
glass-0-1-6_vs_2,0.5357983193277311,0.9181858235136527
glass-0-1-6_vs_5,0.8780952380952382,0.7745645213653469
glass-0-4_vs_5,0.8755020080321285,0.5736451968019518
glass-0-6_vs_5,0.9102132435465768,0.6257021341231868
glass0,0.7238095238095238,0.7722174807323998
glass1,0.5231693363844394,0.6512007782667357
glass2,0.5876381009256495,0.9336746069681952
glass4,0.9096823574435515,0.6047877223920691
glass5,0.8569105691056911,0.8393047550102422
glass6,0.6980428704566636,0.7663936216879182
habermanImb,0.6716049382716051,0.5680429360125466
iris0,0.7632,0.7655663075399989
kr-vs-k-one_vs_fifteen,0.8377755285650023,0.6785404017735412
kr-vs-k-three_vs_eleven,0.6796049728775727,0.9490200038657148
kr-vs-k-zero-one_vs_draw,0.7850568839839225,0.7431638404652425
kr-vs-k-zero_vs_eight,0.5070171357680081,0.9693163662366596
kr-vs-k-zero_vs_fifteen,0.5590352587120824,0.9558998971884616
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5648715217680734,0.9041359137529164
lymphography-normal-fibrosis,0.988849765258216,0.8208333333333333
new-thyroid1,0.8001587301587302,0.6796911432871617
new-thyroid2,0.8001587301587302,0.6796911432871617
page-blocks-1-3_vs_4,0.8356660231660232,0.6829960682444078
page-blocks0,0.5091187740021637,0.797246270680038
pimaImb,0.6099776119402985,0.5396673322280267
poker-8-9_vs_5,0.8591512195121951,0.8352149791895291
poker-8-9_vs_6,0.8248630136986301,0.6164354655811051
poker-8_vs_6,0.7424456083803384,0.96279138104179
poker-9_vs_7,0.9427966101694915,0.5171647796647796
segment0,0.7427471735901741,0.9090421858212201
shuttle-2_vs_5,0.9004204069139135,0.9023104526341054
shuttle-6_vs_2-3,0.9954545454545455,0.8979292929292929
shuttle-c0-vs-c4,0.746306674672843,0.8151197655230684
shuttle-c2-vs-c4,0.967479674796748,0.5637566137566137
vehicle0,0.676939566456704,0.8093048637939989
vehicle1,0.5817148132138644,0.7243223439240417
vehicle2,0.5701659557061882,0.6781249017865252
vehicle3,0.6579816677578716,0.6846320848031288
vowel0,0.5219500123731748,0.838738045036247
winequality-red-3_vs_5,0.5116005873715125,0.9838566585704942
winequality-red-4,0.5139007542288072,0.9624017175675476
winequality-red-8_vs_6-7,0.5282755874153724,0.9719905106902245
winequality-red-8_vs_6,0.5445837687216997,0.9601987263978541
winequality-white-3-9_vs_5,0.7921757035003432,0.8004379226005973
winequality-white-3_vs_7,0.9071022727272728,0.5574005302172624
winequality-white-9_vs_4,0.5901840490797545,0.9327941713425585
wisconsinImb,0.9763372158769648,0.93570448200234
yeast-0-2-5-6_vs_3-7-8-9,0.6479267816284392,0.7823733689736263
yeast-0-2-5-7-9_vs_3-6-8,0.6489647859813605,0.8230550166716857
yeast-0-3-5-9_vs_7-8,0.6266228070175439,0.8394967568898494
yeast-0-5-6-7-9_vs_4,0.655650100711144,0.835775229775727
yeast-1-2-8-9_vs_7,0.5783351508542348,0.9506471756952121
yeast-1-4-5-8_vs_7,0.5300150829562594,0.9583817472977885
yeast-1_vs_7,0.5738150738150739,0.9054582434872985
yeast-2_vs_4,0.7966797950281624,0.7326860746187898
yeast-2_vs_8,0.7813852813852813,0.7793977249219863
yeast1,0.5425678586816028,0.6814278775966481
yeast3,0.5660519312846283,0.8809082083246835
yeast4,0.683729458287153,0.9361888482134402
yeast5,0.6631155303030303,0.923635310414317
yeast6,0.5612540668441289,0.9742183633738819
zoo-3,0.93125,0.707032967032967
