folder_name,HBOS_auc,HBOS_avgprecision
abalone-17_vs_7-8-9-10,0.6291855716878402,0.9038924176088211
abalone-19_vs_10-11-12-13,0.5298349056603774,0.9805655487492133
abalone-20_vs_8-9-10,0.6046805046805047,0.9654148658567174
abalone-21_vs_8,0.8156966490299824,0.7055758390221158
abalone-3_vs_11,0.9893223819301848,0.6738625384277559
abalone19,0.5415484669241912,0.9886712725354885
abalone9-18,0.6533623609095307,0.8830105826470587
car-good,0.5050318421259533,0.9604504543363239
car-vgood,0.6403210139229382,0.9690158221408222
cleveland-0_vs_4,0.9528846153846154,0.8113853008589849
dermatology-6,0.6900887573964497,0.87887327444577
ecoli-0-1-3-7_vs_2-6,0.8180396246089677,0.5444965550468235
ecoli-0-1-4-6_vs_5,0.8832692307692308,0.6500677175265455
ecoli-0-1-4-7_vs_2-3-5-6,0.8016398966640458,0.5114309821301002
ecoli-0-1-4-7_vs_5-6,0.8357003257328991,0.540713931272701
ecoli-0-1_vs_2-3-5,0.8791666666666667,0.5455504612736958
ecoli-0-1_vs_5,0.8995454545454545,0.5100526906294377
ecoli-0-2-3-4_vs_5,0.8736263736263736,0.6058157297293265
ecoli-0-2-6-7_vs_3-5,0.8422592259225923,0.6212942317466799
ecoli-0-3-4-6_vs_5,0.8462162162162161,0.705561063457386
ecoli-0-3-4-7_vs_5-6,0.8160344827586207,0.6379718991109309
ecoli-0-3-4_vs_5,0.8711111111111111,0.6073472161627403
ecoli-0-4-6_vs_5,0.8527322404371585,0.6748013439650111
ecoli-0-6-7_vs_3-5,0.8515909090909091,0.6003417701440363
ecoli-0-6-7_vs_5,0.834,0.68939201500318
ecoli-0_vs_1,0.802742711833621,0.5077365357463934
ecoli1,0.6274131274131274,0.7068456739630732
ecoli2,0.5164883531960998,0.845985990006676
ecoli3,0.6319886093972472,0.8595893507817127
ecoli4,0.7976265822784809,0.8123044494988944
flare-F,0.8370615381118007,0.7685091505921409
glass-0-1-2-3_vs_4-5-6,0.8626248045230361,0.5794342928581169
glass-0-1-4-6_vs_2,0.7015018773466833,0.9407788732460234
glass-0-1-5_vs_2,0.605123339658444,0.9126839081502058
glass-0-1-6_vs_2,0.6478991596638656,0.9323446693975537
glass-0-1-6_vs_5,0.7015873015873015,0.9109572419613743
glass-0-4_vs_5,0.7643908969210175,0.782710128748612
glass-0-6_vs_5,0.6711560044893378,0.8284508794879819
glass0,0.6747023809523809,0.7593116564677866
glass1,0.553155987795576,0.6521806335204797
glass2,0.705733054643177,0.9417025705730022
glass4,0.7688480673555301,0.771864625235524
glass5,0.6840108401084011,0.9281621400649378
glass6,0.8676607642124884,0.6157905934698688
habermanImb,0.5919341563786008,0.6089402226964913
iris0,0.7090000000000001,0.741681393986339
kr-vs-k-one_vs_fifteen,0.9957442526694604,0.9500733705326756
kr-vs-k-three_vs_eleven,0.6042375007570056,0.9674597998232444
kr-vs-k-zero-one_vs_draw,0.7090367191225561,0.9396351427975393
kr-vs-k-zero_vs_eight,0.721175467162906,0.9684247718481678
kr-vs-k-zero_vs_fifteen,0.9996751137102015,0.9719219296581929
led7digit-0-2-4-5-6-7-8-9_vs_1,0.895320197044335,0.5816223807618423
lymphography-normal-fibrosis,0.9953051643192489,0.9166666666666666
new-thyroid1,0.8144444444444444,0.6369550882907893
new-thyroid2,0.8144444444444444,0.6369550882907893
page-blocks-1-3_vs_4,0.740226833976834,0.8402211097903024
page-blocks0,0.8649149949733594,0.5906162131109634
pimaImb,0.6857835820895521,0.5101091399939365
poker-8-9_vs_5,0.5159804878048782,0.9791523982150079
poker-8-9_vs_6,0.5246575342465754,0.9845501246729678
poker-8_vs_6,0.5980660757453666,0.9859567155518356
poker-9_vs_7,0.6673728813559322,0.9732627814452572
segment0,0.7076422497008866,0.7931080534511281
shuttle-2_vs_5,0.9942342409874878,0.7553578133586668
shuttle-6_vs_2-3,0.760909090909091,0.8976086449211814
shuttle-c0-vs-c4,0.9973312746023123,0.9561201898926326
shuttle-c2-vs-c4,0.994579945799458,0.9166666666666666
vehicle0,0.5923124121379696,0.8068408271968185
vehicle1,0.5725128761181892,0.7186255367588948
vehicle2,0.5867907438789225,0.6797864912769018
vehicle3,0.6031932623058152,0.7142180487984535
vowel0,0.906260826528087,0.541137602065446
winequality-red-3_vs_5,0.7813509544787077,0.9528676816783217
winequality-red-4,0.5345810246771949,0.9410520763367709
winequality-red-8_vs_6-7,0.5524359484932961,0.9651278026511068
winequality-red-8_vs_6,0.6524730059212818,0.9397793455170735
winequality-white-3-9_vs_5,0.719780370624571,0.93766835943431
winequality-white-3_vs_7,0.7371590909090909,0.8029628814188792
winequality-white-9_vs_4,0.5815950920245399,0.9596507793174027
wisconsinImb,0.9851294809453806,0.9594149311368505
yeast-0-2-5-6_vs_3-7-8-9,0.7340141748981528,0.7322106377404596
yeast-0-2-5-7-9_vs_3-6-8,0.8069200290194765,0.7162095550536591
yeast-0-3-5-9_vs_7-8,0.529890350877193,0.8798276190853856
yeast-0-5-6-7-9_vs_4,0.5778764335923048,0.8680336483543366
yeast-1-2-8-9_vs_7,0.5933115230825154,0.9505324535724436
yeast-1-4-5-8_vs_7,0.501659125188537,0.9497322385615294
yeast-1_vs_7,0.6054390054390054,0.8734744525565613
yeast-2_vs_4,0.8157370939736585,0.701097905754143
yeast-2_vs_8,0.7213203463203464,0.8923927532254364
yeast1,0.5094400070703389,0.7144950912223629
yeast3,0.5243262447578754,0.893467349641729
yeast4,0.7253191576700464,0.9229736774699294
yeast5,0.8899857954545455,0.8228703655631207
yeast6,0.7417430740412108,0.9485611144648319
zoo-3,0.8166666666666667,0.9630396872471974
