folder_name,OCKRA_std_auc,OCKRA_std_avgprecision
abalone-17_vs_7-8-9-10,0.849561403508772,0.9861464407267049
abalone-19_vs_10-11-12-13,0.653557389937107,0.9858699924534285
abalone-20_vs_8-9-10,0.8671347171347171,0.9923773615194367
abalone-21_vs_8,0.9229024943310657,0.986471211900305
abalone-3_vs_11,0.9749486652977413,0.9836059418427121
abalone19,0.764448032351521,0.9952385259929467
abalone9-18,0.8361669776764116,0.9667505472479204
car-good,0.5078797249958504,0.9580650370831727
car-vgood,0.5681206346269485,0.9565416115689129
cleveland-0_vs_4,0.8754807692307692,0.955542550581605
dermatology-6,0.8798816568047337,0.967885515713226
ecoli-0-1-3-7_vs_2-6,0.8279457768508863,0.9833347818882862
ecoli-0-1-4-6_vs_5,0.5040384615384617,0.9334797416855285
ecoli-0-1-4-7_vs_2-3-5-6,0.8166910030326856,0.9485120636811455
ecoli-0-1-4-7_vs_5-6,0.8472964169381108,0.9561188999607032
ecoli-0-1_vs_2-3-5,0.8640151515151515,0.9423211210782768
ecoli-0-1_vs_5,0.8731818181818182,0.9509616791175555
ecoli-0-2-3-4_vs_5,0.8370879120879121,0.939435044548294
ecoli-0-2-6-7_vs_3-5,0.7497749774977498,0.9348979673482549
ecoli-0-3-4-6_vs_5,0.817027027027027,0.9388972114150205
ecoli-0-3-4-7_vs_5-6,0.8434482758620689,0.942336797627399
ecoli-0-3-4_vs_5,0.8580555555555556,0.9391703607918498
ecoli-0-4-6_vs_5,0.6617486338797814,0.9264614294987799
ecoli-0-6-7_vs_3-5,0.7072727272727273,0.931835956492217
ecoli-0-6-7_vs_5,0.82125,0.9442876587303729
ecoli-0_vs_1,0.7904822450276995,0.8914815544425091
ecoli1,0.5707767136338565,0.8060538380588329
ecoli2,0.607394366197183,0.8800626141627376
ecoli3,0.5395348837209302,0.9074119170900856
ecoli4,0.8354430379746836,0.9641673245650115
flare-F,0.7668394371320103,0.9753110890056546
glass-0-1-2-3_vs_4-5-6,0.8918561289546494,0.8581231334906684
glass-0-1-4-6_vs_2,0.6298498122653318,0.8715520435457039
glass-0-1-5_vs_2,0.5571157495256167,0.8692920848210257
glass-0-1-6_vs_2,0.571764705882353,0.8848570835897692
glass-0-1-6_vs_5,0.8165079365079365,0.9677795479535083
glass-0-4_vs_5,0.8259705488621152,0.9352117628525985
glass-0-6_vs_5,0.7777777777777778,0.9430112703775009
glass0,0.7344246031746031,0.5433877696368863
glass1,0.5369946605644546,0.6353479347823894
glass2,0.6222753060615109,0.8938641377831623
glass4,0.8373517030233448,0.9621433686033173
glass5,0.7685636856368564,0.9709648995333932
glass6,0.8236719478098788,0.9161431240343639
habermanImb,0.5022222222222222,0.7352941176470589
iris0,0.5207999999999999,0.6269047619047619
kr-vs-k-one_vs_fifteen,0.9903165471032507,0.9820663817269887
kr-vs-k-three_vs_eleven,0.8056053016342668,0.9836747688138943
kr-vs-k-zero-one_vs_draw,0.9348729477484843,0.9811965785297806
kr-vs-k-zero_vs_eight,0.5157530174976093,0.980439007707477
kr-vs-k-zero_vs_fifteen,0.9671009883382922,0.9934856615467113
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5431700173079483,0.9221533635726398
lymphography-normal-fibrosis,0.715962441314554,0.9676704829816026
new-thyroid1,0.7087301587301588,0.8853670151080163
new-thyroid2,0.5875396825396826,0.8652074797818222
page-blocks-1-3_vs_4,0.7722007722007722,0.9628385189894937
page-blocks0,0.7357711114355802,0.8503882978947062
pimaImb,0.6931567164179104,0.7459380711688535
poker-8-9_vs_5,0.7171317073170731,0.9920030459502782
poker-8-9_vs_6,0.879013698630137,0.9904942628028544
poker-8_vs_6,0.8736502820306205,0.9933733612017305
poker-9_vs_7,0.9761652542372882,0.981214391202248
segment0,0.8083247963802295,0.5727862196802556
shuttle-2_vs_5,0.9893305347850803,0.9923479170179473
shuttle-6_vs_2-3,0.9477272727272728,0.9749330266461574
shuttle-c0-vs-c4,0.8707097856441636,0.9620298906843443
shuttle-c2-vs-c4,0.9742547425474255,0.97183431133435
vehicle0,0.515840407602153,0.7814438278374514
vehicle1,0.5401009575582632,0.7756778277617513
vehicle2,0.6504777070063694,0.5567637187691894
vehicle3,0.5683367061484436,0.7949482576830724
vowel0,0.6838406335065578,0.9364373959981974
winequality-red-3_vs_5,0.762848751835536,0.9902535718415103
winequality-red-4,0.5181600722497498,0.9670406248222809
winequality-red-8_vs_6,0.6872169975618252,0.9796392646613254
winequality-red-8_vs_6-7,0.6464224080711536,0.9829431934789545
winequality-white-3-9_vs_5,0.8374742621825669,0.9903273347294205
winequality-white-3_vs_7,0.8874431818181818,0.9875168845629115
winequality-white-9_vs_4,0.7484662576687116,0.977244600853116
wisconsinImb,0.9704568585321723,0.7961613455554617
yeast-0-2-5-6_vs_3-7-8-9,0.6651710474914895,0.9273134609310256
yeast-0-2-5-7-9_vs_3-6-8,0.6864780400692003,0.9331362077926901
yeast-0-3-5-9_vs_7-8,0.5932456140350877,0.9197375013959749
yeast-0-5-6-7-9_vs_4,0.6172154396349735,0.9245150437039766
yeast-1-2-8-9_vs_7,0.5579789167575426,0.9668534262522073
yeast-1-4-5-8_vs_7,0.579587732528909,0.9371069736477035
yeast-1_vs_7,0.6228438228438229,0.9419182036016793
yeast-2_vs_4,0.7494600431965444,0.9371558439381046
yeast-2_vs_8,0.7795454545454545,0.9718537983036428
yeast1,0.507276925286404,0.7159112569930205
yeast3,0.5179103021971643,0.8911217705306458
yeast4,0.6325821326437064,0.9748601912394123
yeast5,0.7387468434343434,0.9811901033508763
yeast6,0.6042393769101844,0.9818134417221277
zoo-3,0.8270833333333333,0.9651787142352481
